Unnamed: 0,id,name,commentCount,comment_text,cleaned_comment_text,cleaned_comment_text_demojise,gpt_label
10,7.41814E+18,kekbajetgerik,9,done order4 botol;Done order 3botol 😍;love dooh bau wangi ni dah 4 botol;done beli 4 botol👍👍👍;Done order candy botol besar kakk🫶🏻🫶🏻;done oder 3 botol special edition kak;👍👍;boleh recommend x bau yg lembut dan sexy,Selesai pesanan 4 botol; Selesai pesanan 3 botol 😍; suka sangat bau wangi ini sudah 4 botol; selesai beli 4 botol 👍👍👍; Selesai pesanan gula-gula botol besar kak 🫶🏻🫶🏻; selesai pesanan 3 botol edisi istimewa kak; 👍👍; boleh cadangkan tidak bau yang lembut dan seksi,Selesai pesanan 4 botol; Selesai pesanan 3 botol :smiling_face_with_heart-eyes:; suka sangat bau wangi ini sudah 4 botol; selesai beli 4 botol :thumbs_up::thumbs_up::thumbs_up:; Selesai pesanan gula-gula botol besar kak :heart_hands_light_skin_tone::heart_hands_light_skin_tone:; selesai pesanan 3 botol edisi istimewa kak; :thumbs_up::thumbs_up:; boleh cadangkan tidak bau yang lembut dan seksi,Positive
11,7.41778E+18,kekbajetgerik,7,"Done order 4 bottles;Done pyment 3 dino purple 🫶🏼;srs olim peaa sedapp gess,;tergoda sgt dgn seduction n bacarat 🥰🥰🥰;Paling suka bogoshippo🫶🏼 fav sangat😍;dh order 3 botol Dino pink,ye hny dew,ye l v list bell;👍👍👍","Telah memesan 4 botol; Telah buat pembayaran 3 Dino ungu 🫶🏼; Sungguh lama punya sedap,; terpesona sangat dengan tarikan dan Baccarat 🥰🥰🥰; Paling suka Bogoshippo🫶🏼 kegemaran sangat😍; telah memesan 3 botol Dino merah jambu, ya hanya Dew, ya l v senarai bel; 👍👍👍","Telah memesan 4 botol; Telah buat pembayaran 3 Dino ungu :heart_hands_medium-light_skin_tone:; Sungguh lama punya sedap,; terpesona sangat dengan tarikan dan Baccarat :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:; Paling suka Bogoshippo:heart_hands_medium-light_skin_tone: kegemaran sangat:smiling_face_with_heart-eyes:; telah memesan 3 botol Dino merah jambu, ya hanya Dew, ya l v senarai bel; :thumbs_up::thumbs_up::thumbs_up:",Positive
12,7.41745E+18,kekbajetgerik,4,Brg dh sampai memang laju tk sampai seminggu... Beli geng srs wangi😭;first time try yg Bogoshipo punya..baju dh basuh tapi bau dia masih lagi melekat 😭rugi xbeli banyak2 terus😭;beli svge geng . lelaki memang sesuai pakai srs wangi;👍👍,Barang sudah sampai memang laju tak sampai seminggu... Beli geng serius wangi😭;pertama kali cuba yang Bogoshipo punya..baju sudah basuh tapi bau dia masih lagi melekat 😭rugi tak beli banyak terus😭;beli savage geng . lelaki memang sesuai pakai serius wangi;👍👍,Barang sudah sampai memang laju tak sampai seminggu... Beli geng serius wangi:loudly_crying_face:;pertama kali cuba yang Bogoshipo punya..baju sudah basuh tapi bau dia masih lagi melekat :loudly_crying_face:rugi tak beli banyak terus:loudly_crying_face:;beli savage geng . lelaki memang sesuai pakai serius wangi;:thumbs_up::thumbs_up:,Positive
13,7.4174E+18,kekbajetgerik,3,Done payment;done order saranghaeyo 💗;👍👍,Selesai pembayaran;selesai pesanan saranghaeyo 💗;👍👍,Selesai pembayaran;selesai pesanan saranghaeyo :growing_heart:;:thumbs_up::thumbs_up:,Positive
14,7.41708E+18,kekbajetgerik,18,"done payment ✅;Done beli 2 bottleeeee 🫶🏻;done order;Done payment ✅;Done payment;Mantapp rugi klo x beli👍👍;done beli 3 botol;done beli candy besar;sy inlove dgn bau candy love;Done beli 4 botol..;Sedap bau yg ni🥰;student sy suka bau ni 😍 pernah spray dkt telekung, suka diorg 🤩;Done beli tiga botol 💜;done order 3 botol, pakai pagi memg melekat bau sampai malam;Paling best bau ni semboq skli ja hbs satu bilik bau mns ii hahahahaha 😍😍😂;😍😍😍;@zety;🥰🥰🥰;done order 14 botol","selesai pembayaran ✅; Selesai beli 2 botol 🫶🏻; selesai pesan; Selesai pembayaran ✅; Selesai pembayaran; Mantap rugi kalau tak beli 👍👍; selesai beli 3 botol; selesai beli gula-gula besar; saya jatuh cinta dengan bau gula-gula cinta; Selesai beli 4 botol..; Sedap bau yang ini 🥰; pelajar saya suka bau ini 😍 pernah sembur dekat telekung, mereka suka 🤩; Selesai beli tiga botol 💜; selesai pesan 3 botol, pakai pagi memang melekat bau sampai malam; Paling best bau ini sembur sekali saja habis satu bilik bau manis sangat hahahahaha 😍😍😂; 😍😍😍; @zety; 🥰🥰🥰; selesai pesan 14 botol","selesai pembayaran :check_mark_button:; Selesai beli 2 botol :heart_hands_light_skin_tone:; selesai pesan; Selesai pembayaran :check_mark_button:; Selesai pembayaran; Mantap rugi kalau tak beli :thumbs_up::thumbs_up:; selesai beli 3 botol; selesai beli gula-gula besar; saya jatuh cinta dengan bau gula-gula cinta; Selesai beli 4 botol..; Sedap bau yang ini :smiling_face_with_hearts:; pelajar saya suka bau ini :smiling_face_with_heart-eyes: pernah sembur dekat telekung, mereka suka :star-struck:; Selesai beli tiga botol :purple_heart:; selesai pesan 3 botol, pakai pagi memang melekat bau sampai malam; Paling best bau ini sembur sekali saja habis satu bilik bau manis sangat hahahahaha :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::face_with_tears_of_joy:; :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:; @zety; :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:; selesai pesan 14 botol",Positive
15,7.41703E+18,kekbajetgerik,10,"harini pakai raya dino..mmg best..bau die makin lama makin lembut..nanti repeat botol besar;Rugi klo x beli memang sangat2 puas hati guysss👍👍;rugi klo x beli dah la murah wangi pulak tu mmg terbaik;Murahhnyaa😳😳;sama la sy,dr mula keluar sampai skrg tetap ngn raya edition ni..love sgt;Sya pkai yg memang love sgt❤️;sy suka yg bubblegum twinkle limited edition tu. sumpah wangi gila. korang try laa;Done order 4 botol..;https://vt.tiktok.com/ZS2X8tUsw/ hadir support 🥰","harini pakai raya dino..memang best..bau dia makin lama makin lembut..nanti ulang botol besar;Rugi kalau tidak beli memang sangat-sangat puas hati kawan-kawan👍👍;rugi kalau tidak beli dah la murah wangi pula itu memang terbaik;Murahnya😳😳;sama la saya,dari mula keluar sampai sekarang tetap dengan raya edisi ni..sangat suka;Saya pakai yang memang sangat suka❤️;saya suka yang bubblegum twinkle edisi terhad tu. sumpah wangi gila. korang cuba lah;Selesai pesanan 4 botol..;https://vt.tiktok.com/ZS2X8tUsw/ hadir sokong 🥰","harini pakai raya dino..memang best..bau dia makin lama makin lembut..nanti ulang botol besar;Rugi kalau tidak beli memang sangat-sangat puas hati kawan-kawan:thumbs_up::thumbs_up:;rugi kalau tidak beli dah la murah wangi pula itu memang terbaik;Murahnya:flushed_face::flushed_face:;sama la saya,dari mula keluar sampai sekarang tetap dengan raya edisi ni..sangat suka;Saya pakai yang memang sangat suka:red_heart:;saya suka yang bubblegum twinkle edisi terhad tu. sumpah wangi gila. korang cuba lah;Selesai pesanan 4 botol..;https://vt.tiktok.com/ZS2X8tUsw/ hadir sokong :smiling_face_with_hearts:",Positive
16,7.41701E+18,kekbajetgerik,1,oily skin hadir😫,Kulit berminyak hadir😫,Kulit berminyak hadir:tired_face:,Neutral
17,7.41674E+18,kekbajetgerik,12,done beli 3 botol;Done beli boss✅;done beli 5 botol 👏;Done buat stockkkk 😝;done beli boss;done beli💖;weh stoberi tu mmg sedap🤣;done beli 3 terus mur ii😍;murahnya..done beli 10 botol bublegum;sye dh oder bbgam;😊;sakura sedap,sudah beli 3 botol; sudah beli bos ✅; sudah beli 5 botol 👏; sudah buat stok 😝; sudah beli bos; sudah beli 💖; weh strawberi tu memang sedap 🤣; sudah beli 3 terus murahnya ii 😍; murahnya.. sudah beli 10 botol bublegum; saya sudah oder bublegum; 😊; sakura sedap,sudah beli 3 botol; sudah beli bos :check_mark_button:; sudah beli 5 botol :clapping_hands:; sudah buat stok :squinting_face_with_tongue:; sudah beli bos; sudah beli :sparkling_heart:; weh strawberi tu memang sedap :rolling_on_the_floor_laughing:; sudah beli 3 terus murahnya ii :smiling_face_with_heart-eyes:; murahnya.. sudah beli 10 botol bublegum; saya sudah oder bublegum; :smiling_face_with_smiling_eyes:; sakura sedap,Positive
18,7.41666E+18,kekbajetgerik,4,"Rugi klo x beli perfume yaya memang blh tahan lama. Dh lah murah. Bau mcm perfume mahal2👍👍;Bau kuat sgt tak, Gucci flora;done grab 4 botol , thankyou sis","Rugi kalau tak beli minyak wangi yaya memang boleh tahan lama. Dah lah murah. Bau macam minyak wangi mahal-mahal👍👍;Bau kuat sangat tak, Gucci flora;dah ambil 4 botol, terima kasih kakak.","Rugi kalau tak beli minyak wangi yaya memang boleh tahan lama. Dah lah murah. Bau macam minyak wangi mahal-mahal:thumbs_up::thumbs_up:;Bau kuat sangat tak, Gucci flora;dah ambil 4 botol, terima kasih kakak.",Positive
19,7.41658E+18,kekbajetgerik,1,yg bijak akn tkn bag kuning🙈,yang bijak akan tekan beg kuning🙈,yang bijak akan tekan beg kuning:see-no-evil_monkey:,Neutral
20,7.41636E+18,kekbajetgerik,26,"done oder 4botol dpt 7.15,love sgt🥰;Rugi tw klo x beli. Beli dkt luar harga rm10 ringgit beli semasa live pasti dpt harga discount 👍👍👍👍;Done order 4botol😍;done order dpt rm28 je baloi2..👍;dh order 4botol 30.60;done order 4 botol;done bli 4 botol 28.60;Dah beli 4 botol;wangi tauu 😍;Alaa tak dapat 7.15.. dh follow n beli kt live.. saya beli 5 botol 😭;Done purchase 4 botol 🥰;done order 4botol dpt 25.60🥰;Done 4botol RM29;Done order 3 botol;done pyment. 4btol;wangi;done oder..4 botol..tq;Dah oder beli 4 botol dapat Rm 27.60;Done oder 4 botol;done 4 botol rm25 lebih;RM7.15 je sebotol sape x beli rugi la.... done order;Done order 4 botol rm30.60 frree voucher rm 11 dari sarawak..😊;Done oder 4 botol dapat harga rm28;Done order 4 botol rm7.15/pcs😻","Telah buat pesanan 4 botol dapat 7.15, sayang sangat 🥰; Rugi tahu kalau tak beli. Beli dekat luar harga RM10 ringgit beli semasa siaran langsung pasti dapat harga diskaun 👍👍👍👍; Telah buat pesanan 4 botol😍; Telah buat pesanan dapat RM28 sahajalah berbaloi-baloi..👍; Telah buat pesanan 4 botol 30.60; Telah buat pesanan 4 botol; Telah beli 4 botol 28.60; Dah beli 4 botol; Wangi tahu 😍; Alah tak dapat 7.15.. sudah ikut dan beli di siaran langsung.. saya beli 5 botol 😭; Telah buat pembelian 4 botol 🥰; Telah buat pesanan 4 botol dapat 25.60 🥰; Telah buat pesanan 4 botol RM29; Telah buat pesanan 3 botol; Telah buat pembayaran. 4 botol; Wangi; Telah buat pesanan.. 4 botol.. terima kasih; Dah buat pesanan beli 4 botol dapat RM27.60; Telah buat pesanan 4 botol; Telah buat pesanan 4 botol RM25 lebih; RM7.15 sahaja sebotol siapa tak beli rugi lah.... telah buat pesanan; Telah buat pesanan 4 botol RM30.60 percuma baucar RM11 dari Sarawak..😊; Telah buat pesanan 4 botol dapat harga RM28; Telah buat pesanan 4 botol RM7.15/botol 😻","Telah buat pesanan 4 botol dapat 7.15, sayang sangat :smiling_face_with_hearts:; Rugi tahu kalau tak beli. Beli dekat luar harga RM10 ringgit beli semasa siaran langsung pasti dapat harga diskaun :thumbs_up::thumbs_up::thumbs_up::thumbs_up:; Telah buat pesanan 4 botol:smiling_face_with_heart-eyes:; Telah buat pesanan dapat RM28 sahajalah berbaloi-baloi..:thumbs_up:; Telah buat pesanan 4 botol 30.60; Telah buat pesanan 4 botol; Telah beli 4 botol 28.60; Dah beli 4 botol; Wangi tahu :smiling_face_with_heart-eyes:; Alah tak dapat 7.15.. sudah ikut dan beli di siaran langsung.. saya beli 5 botol :loudly_crying_face:; Telah buat pembelian 4 botol :smiling_face_with_hearts:; Telah buat pesanan 4 botol dapat 25.60 :smiling_face_with_hearts:; Telah buat pesanan 4 botol RM29; Telah buat pesanan 3 botol; Telah buat pembayaran. 4 botol; Wangi; Telah buat pesanan.. 4 botol.. terima kasih; Dah buat pesanan beli 4 botol dapat RM27.60; Telah buat pesanan 4 botol; Telah buat pesanan 4 botol RM25 lebih; RM7.15 sahaja sebotol siapa tak beli rugi lah.... telah buat pesanan; Telah buat pesanan 4 botol RM30.60 percuma baucar RM11 dari Sarawak..:smiling_face_with_smiling_eyes:; Telah buat pesanan 4 botol dapat harga RM28; Telah buat pesanan 4 botol RM7.15/botol :smiling_cat_with_heart-eyes:",Positive
21,7.41634E+18,kekbajetgerik,7,"Done oder 4botol😍;Done ode 4 botol bcrat, lavie, goo chi flo ra, hitam? Xingt😍;done beli 4botol;Rugi klo x beli semua best2 perfume yaya","Selesai pesan 4 botol 😍; Selesai pesan 4 botol berat, lavie, goo chi flo ra, hitam? Bersemangat 😍; selesai beli 4 botol; Rugi kalau tidak beli semua yang terbaik perfume yaya","Selesai pesan 4 botol :smiling_face_with_heart-eyes:; Selesai pesan 4 botol berat, lavie, goo chi flo ra, hitam? Bersemangat :smiling_face_with_heart-eyes:; selesai beli 4 botol; Rugi kalau tidak beli semua yang terbaik perfume yaya",Positive
22,7.41629E+18,kekbajetgerik,9,done bli 5 btl;done beli 10 botol dapat murah masa live 😁;done beli 4 botol dapat harga murah 😊😍;Mantap bau😚;wanggi,sudah beli 5 botol; sudah beli 10 botol dapat murah masa siaran langsung 😁; sudah beli 4 botol dapat harga murah 😊😍; Mantap bau 😚; wangi,sudah beli 5 botol; sudah beli 10 botol dapat murah masa siaran langsung :beaming_face_with_smiling_eyes:; sudah beli 4 botol dapat harga murah :smiling_face_with_smiling_eyes::smiling_face_with_heart-eyes:; Mantap bau :kissing_face_with_closed_eyes:; wangi,Positive
23,7.41596E+18,kekbajetgerik,6,done payment🥰;alhamdulilah byk kali repeat kat seller ni....arini grab 6 botol lg;saya suka bau manis pink dino. btw done beli bubblegum twinkle 🤩✨ postage ke sabah rm2 saja;oder 6 botol yg kecik.. bru smpai ari nih.. kat pembungkusan pun lekat bau nyer..;Semua wangi yaya nie 🥰;Bau paling best bubblegum tu..siyess xnyesal beli..da beli confirm repeat order.the best,sudah bayar🥰;alhamdulillah banyak kali ulang beli dengan penjual ini....hari ini ambil 6 botol lagi;saya suka bau manis pink dino. by the way sudah beli bubblegum twinkle 🤩✨ penghantaran ke sabah rm2 saja;pesan 6 botol yang kecil.. baru sampai hari ini.. pada pembungkusan pun lekat baunya..;Semua wangi yaya ini 🥰;Bau paling baik bubblegum itu..sungguh tidak menyesal beli..sudah beli pasti ulang pesanan. yang terbaik,sudah bayar:smiling_face_with_hearts:;alhamdulillah banyak kali ulang beli dengan penjual ini....hari ini ambil 6 botol lagi;saya suka bau manis pink dino. by the way sudah beli bubblegum twinkle :star-struck::sparkles: penghantaran ke sabah rm2 saja;pesan 6 botol yang kecil.. baru sampai hari ini.. pada pembungkusan pun lekat baunya..;Semua wangi yaya ini :smiling_face_with_hearts:;Bau paling baik bubblegum itu..sungguh tidak menyesal beli..sudah beli pasti ulang pesanan. yang terbaik,Positive
24,7.41591E+18,kekbajetgerik,6,haaaaa prgi msuk live cpt grab yg perfume purple gmba tmbikai tu kuat bau tahan smpi esk..murah guys😊;semua jenis Dino best3...;dino purple dengan pink candy memang padu bau diaaaaaa soo nicee;barang dh smpai candy sedap sgt padu tq seller,haaaaa pergi masuk siaran langsung cepat rebut yang minyak wangi ungu gambar tembikai itu kuat bau tahan sampai esok..murah kawan😊;semua jenis Dino terbaik...;dino ungu dengan gula-gula merah jambu memang padu bau dia sangat bagus;barang dah sampai gula-gula sedap sangat padu terima kasih penjual,haaaaa pergi masuk siaran langsung cepat rebut yang minyak wangi ungu gambar tembikai itu kuat bau tahan sampai esok..murah kawan:smiling_face_with_smiling_eyes:;semua jenis Dino terbaik...;dino ungu dengan gula-gula merah jambu memang padu bau dia sangat bagus;barang dah sampai gula-gula sedap sangat padu terima kasih penjual,Positive
25,7.4164E+18,darenbless,3,🥰🥰🥰🥰;😌😌😌;☺️☺️☺️,🥰🥰🥰🥰;😌😌😌;☺️☺️☺️,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:;:relieved_face::relieved_face::relieved_face:;:smiling_face::smiling_face::smiling_face:,Positive
26,7.41639E+18,darenbless,1,🥰🥰🥰🥰,"Baiklah, silakan kirimkan teks yang ingin Anda terjemahkan.","Baiklah, silakan kirimkan teks yang ingin Anda terjemahkan.",Neutral
27,7.41595E+18,darenbless,1,Yaaa ampun lah anak oii 😍 letih mak mak nak kene layan anak punye kerenah 🤣,Ya ampunlah anak oii 😍 letih ibu nak kena layan anak punya kerenah 🤣,Ya ampunlah anak oii :smiling_face_with_heart-eyes: letih ibu nak kena layan anak punya kerenah :rolling_on_the_floor_laughing:,Positive
