label,token,z,delta,total_count,rf_Negative,rf_Neutral,rf_Positive
Neutral,serum,6.956803190247,0.9289369385408763,216,9.028892455858747,18.392694854373133,6.353835737721994
Neutral,kod,6.87064391538914,0.6419685293134174,476,31.09951845906902,33.10685073787164,15.207541273891986
Neutral,masak,6.779472375612185,1.29171973714928,102,5.016051364365971,10.819232267278315,2.4477891776469978
Neutral,loudly_crying_face,6.760181949422786,0.243068082920622,3798,406.3001605136437,190.63487254944388,130.82651945211188
Neutral,persevering_face,6.687617595705888,2.739743616193442,35,1.0032102728731942,6.275154715021422,0.2604031040049997
Neutral,sesuai,6.576366858059723,0.6767652630658967,388,15.048154093097914,27.697234604232484,12.759752096244988
Neutral,teks,6.52925167549839,3.0666767051137134,33,0.0,6.275154715021422,0.2083224832039998
Neutral,jerawat,6.497812825139005,0.7334645185129967,317,29.093097913322634,23.585926342666724,9.32243112337899
Neutral,medicube,6.356815590812816,2.5159172641411818,33,0.0,5.626000778984723,0.36456434560699963
Neutral,bahasa,6.224024783111875,1.6875606904815141,52,4.012841091492777,6.707924005712554,0.8853705536169991
Neutral,gading,5.908979905852368,1.526739266172303,56,1.0032102728731942,6.707924005712554,1.2499348992239987
Neutral,sakit,5.831650115811093,0.7813568067425685,222,30.096308186195827,17.094386982299735,5.885110150512994
Neutral,sushi,5.7919858897787115,2.8463553909052184,26,0.0,4.760462197602458,0.2083224832039998
Neutral,saya,5.7762197688741805,0.17053527760852916,5846,332.0626003210273,275.02488423421477,221.03015467944377
Neutral,apa,5.761351512334334,0.30874393835596425,1655,75.24077046548956,88.06855065564548,61.09056819957294
Neutral,adakah,5.7501512185798065,1.2162339418785066,83,3.009630818619583,8.439001168477084,2.135305452840998
Neutral,restock,5.720094820009686,0.7111740479926203,263,15.048154093097914,19.2582334357554,8.280818707358991
Neutral,bercakap,5.505592485769599,1.3915931464604574,58,1.0032102728731942,6.491539360366988,1.4061767616269987
Neutral,pengelupasan,5.401245836630276,2.0608673933082047,29,4.012841091492777,4.3276929069113255,0.2604031040049997
Neutral,keli,5.337447761566994,2.9602027741859533,22,1.0032102728731942,4.1113082615657595,0.1041612416019999
Neutral,numbuzin,5.257538720976232,2.3291377760387313,24,0.0,3.894923616220193,0.3124837248059997
Neutral,kontraksi,5.071651230344678,3.804208068504108,23,0.0,4.760462197602458,0.05208062080099995
Neutral,tanya,5.070664310457178,0.5125420028099654,426,13.041733547351525,26.831696022850217,15.051299411488985
Neutral,vitamin,4.9873083663061015,1.2940389186787353,55,3.009630818619583,5.842385424330289,1.3020155200249988
Neutral,merajuk,4.9581111925456645,1.869287298779323,28,0.0,3.894923616220193,0.5208062080099994
Positive,smiling_face_with_hearts,21.367051288848476,0.6624941397852839,7693,116.37239165329053,171.59302375903405,353.31493151398365
Positive,eyes,15.196502857858583,0.9107424095677166,2491,18.057784911717494,42.627775133076554,118.53549294307588
Positive,smiling_face_with_heart,15.00556867112014,0.9225413466913475,2389,16.051364365971107,40.46392867962089,113.84823707098589
Positive,rolling_on_the_floor_laughing,13.453991702213472,0.5203622446045078,4510,96.30818619582665,112.9527848703856,202.6977761574918
Positive,red_heart,13.106739064345108,0.7154704560890659,2598,45.14446227929374,51.932314882935906,120.46247591271288
Positive,cantik,12.10959546449688,0.9063093938965734,1595,16.051364365971107,26.398926732159087,75.88146450705692
Positive,botol,11.37765618581305,0.9615324402205125,1306,19.06099518459069,18.6090794997187,62.54882558200094
Positive,thumbs_up,10.760770737422453,0.6653568447716349,1956,35.1123595505618,41.54585190634872,90.04739336492891
Positive,bau,10.430587210801345,1.1723409085042373,874,4.012841091492777,10.38646297658718,42.810270298421955
Positive,wangi,9.7548306412165,1.21537952996104,737,0.0,8.871770459168218,36.24811207749596
Positive,face_with_tears_of_joy,8.645765286022515,0.2959909070955491,4995,116.37239165329053,161.20656078244687,215.30128639133378
Positive,selesai,8.48336764208983,1.2889761512345164,527,1.0032102728731942,5.409616133639157,26.092391021300973
Positive,sangat,8.283998697870551,0.5066781367456992,1793,47.15088282504013,43.49331371445882,80.46455913754492
Positive,terbaik,8.254044136040651,0.7319523877913445,999,8.025682182985554,21.422079889211062,46.45591375449195
Positive,comel,8.100979676600007,1.1510235496619998,538,1.0032102728731942,6.924308651058121,26.300713504504973
Positive,mek,7.92450887313523,1.2652999556802822,468,9.028892455858747,3.245769680183494,23.123795635643976
Positive,tahniah,7.686752908678411,1.9931695454605753,336,1.0032102728731942,0.21638464534556628,17.394927347533983
Positive,alhamdulillah,7.054660517158667,0.7246174257080407,741,15.048154093097914,14.065001947461807,34.425290349460965
Positive,pesan,7.044253450769685,0.9829592390652708,488,2.0064205457463884,7.789847232440386,23.436279360449976
Positive,sue,6.681860888487818,0.9146727735153268,481,0.0,8.871770459168218,22.915473152439976
Positive,suka,6.420501041194741,0.5261109679697649,1013,10.032102728731942,27.480849958886918,45.62262382167595
Positive,sudah,6.413842100586924,0.49561387393306866,1116,24.077046548956663,28.56277318561475,49.99739596895995
Positive,cantiknya,6.350201383776853,1.082137664413148,354,4.012841091492777,4.3276929069113255,17.186604864329983
Positive,semoga,6.0805761648925065,0.7669782166326442,507,23.073836276083465,6.275154715021422,23.696682464454977
Positive,rozy,5.992502559487833,0.9257102647039028,381,2.0064205457463884,6.491539360366988,18.17613665954898
Positive,dino,5.626377240362737,2.0014819603947203,180,0.0,0.21638464534556628,9.32243112337899
Positive,ulang,5.221040543897654,1.0876411829800192,238,1.0032102728731942,3.245769680183494,11.561897817821988
Positive,beli,5.21428973629506,0.23259882282499422,2838,71.22792937399679,96.9403211148137,120.77495963751888
Positive,rezeki,5.174053708781243,0.9234262098307298,285,9.028892455858747,3.245769680183494,13.593042029060987
Positive,selamat,5.039955013489291,0.7555980123117907,356,9.028892455858747,6.058770069675856,16.613718035518982
Positive,azad,4.977238888796294,2.1358457059020024,140,0.0,0.0,7.291286912139992
Positive,pak,4.969936105816291,1.7086200948294987,148,0.0,0.6491539360366988,7.551690016144993
Positive,pesanan,4.8443186198441754,0.8610445619864953,274,1.0032102728731942,5.19323148829359,12.968074579448986
Positive,baju,4.811078235466399,0.7436654329839065,332,2.0064205457463884,7.140693296403687,15.467944377896984
Positive,yaya,4.759029140484734,2.1357911729573313,128,0.0,0.0,6.666319462527993
Positive,tahan,4.707773835777301,0.8862260098906605,249,5.016051364365971,3.6785389708746266,11.822300921826988
Positive,best,4.667623687414869,0.662945746519684,371,2.0064205457463884,8.871770459168218,17.082443622727983
Positive,face_blowing_a_kiss,4.561030384877324,0.7932903353750795,272,4.012841091492777,4.976846842948024,12.759752096244988
Positive,solekan,4.518681348213561,0.8128727310308772,258,1.0032102728731942,5.19323148829359,12.134784646632989
Positive,heart_suit,4.400787469444022,0.6804506673876256,317,7.022471910112359,6.275154715021422,14.634654445080985
